fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-09-25,F9,F9,F9,1041,F9,N719FR,1041,14843,SJU,"San Juan, PR",14100,PHL,"Philadelphia, PA",105,53,-12,16,109,444,8,510,452,-18,0,,0,N,245,239,215,1,1576,,,,,,,,,
2018-10-18,NK,NK,NK,942,NK,N651NK,942,15304,TPA,"Tampa, FL",10397,ATL,"Atlanta, GA",2030,2024,-6,10,2034,2136,29,2204,2205,1,0,,0,N,94,101,62,1,406,,,,,,,,,
2019-09-27,F9,F9,F9,1807,F9,N230FR,1807,10423,AUS,"Austin, TX",14679,SAN,"San Diego, CA",918,1023,65,11,1034,1109,5,1019,1114,55,0,,0,N,181,171,155,1,1164,55,0,0,0,0,,,,
2019-02-12,AS,AS_CODESHARE,AS,3343,OO,N179SY,3343,14893,SMF,"Sacramento, CA",14679,SAN,"San Diego, CA",600,553,-7,15,608,716,4,730,720,-10,0,,0,N,90,87,68,1,480,,,,,,,,,
2019-01-02,DL,DL_CODESHARE,DL,5817,CP,N603CZ,5817,12892,LAX,"Los Angeles, CA",15376,TUS,"Tucson, AZ",1535,1704,89,17,1721,1925,4,1807,1929,82,0,,0,N,92,85,64,1,451,81,0,0,0,1,,,,
2019-07-23,WN,WN,WN,443,WN,N442WN,443,10721,BOS,"Boston, MA",15016,STL,"St. Louis, MO",1240,1239,-1,13,1252,1426,9,1445,1435,-10,0,,0,N,185,176,154,1,1047,,,,,,,,,
2018-01-01,UA,UA,UA,1237,UA,N459UA,1237,13930,ORD,"Chicago, IL",13303,MIA,"Miami, FL",1041,1041,0,20,1101,1437,7,1446,1444,-2,0,,0,N,185,183,156,1,1197,,,,,,,,,
2018-03-01,AA,AA,AA,2731,AA,N969TW,2731,15624,VPS,"Valparaiso, FL",11298,DFW,"Dallas/Fort Worth, TX",900,856,-4,16,912,1105,18,1121,1123,2,0,,0,N,141,147,113,1,641,,,,,,,,,
2019-09-16,AA,AA_CODESHARE,AA,5965,YV,N944LR,5965,11140,CRP,"Corpus Christi, TX",11298,DFW,"Dallas/Fort Worth, TX",2016,2005,-11,12,2017,2120,5,2140,2125,-15,0,,0,N,84,80,63,1,354,,,,,,,,,
2018-02-09,AS,AS_CODESHARE,AS,3339,OO,N192SY,3339,13871,OMA,"Omaha, NE",14679,SAN,"San Diego, CA",1515,1507,-8,14,1521,1643,2,1723,1645,-38,0,,0,N,248,218,202,1,1313,,,,,,,,,
2018-10-11,AA,AA_CODESHARE,AA,5308,OH,N539EA,5308,11057,CLT,"Charlotte, NC",15919,XNA,"Fayetteville, AR",731,729,-2,14,743,831,4,851,835,-16,0,,0,N,140,126,108,1,754,,,,,,,,,
2019-05-02,WN,WN,WN,1600,WN,N8675A,1600,14679,SAN,"San Diego, CA",11259,DAL,"Dallas, TX",1035,1121,46,20,1141,1606,3,1530,1609,39,0,,0,N,175,168,145,1,1182,38,0,0,0,1,,,,
2018-05-16,DL,DL,DL,827,DL,N836DN,827,11697,FLL,"Fort Lauderdale, FL",10397,ATL,"Atlanta, GA",640,640,0,11,651,811,12,828,823,-5,0,,0,N,108,103,80,1,581,,,,,,,,,
2018-11-06,AA,AA,AA,2448,AA,N936AN,2448,11298,DFW,"Dallas/Fort Worth, TX",14570,RNO,"Reno, NV",1839,1850,11,17,1907,2022,6,2022,2028,6,0,,0,N,223,218,195,1,1345,,,,,,,,,
2018-05-11,NK,NK,NK,209,NK,N613NK,209,13930,ORD,"Chicago, IL",13796,OAK,"Oakland, CA",945,940,-5,12,952,1209,6,1221,1215,-6,0,,0,N,276,275,257,1,1836,,,,,,,,,
2018-02-05,DL,DL,DL,1918,DL,N671DN,1918,14908,SNA,"Santa Ana, CA",10397,ATL,"Atlanta, GA",830,930,60,8,938,1609,7,1539,1616,37,0,,0,N,249,226,211,1,1919,31,0,6,0,0,,,,
2019-02-16,UA,UA,UA,242,UA,N14118,242,14771,SFO,"San Francisco, CA",10721,BOS,"Boston, MA",1400,1357,-3,20,1417,2204,4,2230,2208,-22,0,,0,N,330,311,287,1,2704,,,,,,,,,
2019-07-02,UA,UA_CODESHARE,UA,4524,G7,N161GJ,4524,11292,DEN,"Denver, CO",15016,STL,"St. Louis, MO",2015,2031,16,12,2043,2315,4,2318,2319,1,0,,0,N,123,108,92,1,770,,,,,,,,,
2018-05-30,AA,AA_CODESHARE,AA,3880,MQ,N654AE,3880,13930,ORD,"Chicago, IL",11995,GSO,"Greensboro/High Point, NC",704,654,-10,16,710,941,5,950,946,-4,0,,0,N,106,112,91,1,589,,,,,,,,,
2018-12-19,UA,UA_CODESHARE,UA,5282,OO,N124SY,5282,13367,MLI,"Moline, IL",13930,ORD,"Chicago, IL",554,549,-5,12,601,635,10,705,645,-20,0,,0,N,71,56,34,1,139,,,,,,,,,
2018-05-01,AS,AS_CODESHARE,AS,2328,QX,N403QX,2328,13264,MFR,"Medford, OR",14057,PDX,"Portland, OR",500,455,-5,9,504,553,4,557,557,0,0,,0,N,57,62,49,1,222,,,,,,,,,
2018-08-17,DL,DL_CODESHARE,DL,6106,YX,N875RW,6106,11066,CMH,"Columbus, OH",12953,LGA,"New York, NY",835,830,-5,14,844,959,9,1026,1008,-18,0,,0,N,111,98,75,1,479,,,,,,,,,
2018-02-03,AA,AA,AA,650,AA,N680AW,650,14100,PHL,"Philadelphia, PA",11057,CLT,"Charlotte, NC",820,816,-4,52,908,1020,4,1023,1024,1,0,,0,N,123,128,72,1,449,,,,,,,,,
2018-02-04,F9,F9,F9,1671,F9,N715FR,1671,14100,PHL,"Philadelphia, PA",13204,MCO,"Orlando, FL",600,1242,402,11,1253,1459,9,845,1508,383,0,,0,N,165,146,126,1,861,383,0,0,0,0,,,,
2018-06-09,AA,AA,AA,2080,AA,N176UW,2080,11057,CLT,"Charlotte, NC",13930,ORD,"Chicago, IL",940,1115,95,11,1126,1158,15,1053,1213,80,0,,0,N,133,118,92,1,599,0,0,80,0,0,,,,
2018-05-15,AA,AA_CODESHARE,AA,3792,MQ,N520DC,3792,11042,CLE,"Cleveland, OH",13930,ORD,"Chicago, IL",556,,,,,,,630,,,1,C,0,N,94,,,1,316,,,,,,,,,
2019-12-31,AA,AA_CODESHARE,AA,6054,CP,N202NN,6054,12892,LAX,"Los Angeles, CA",14747,SEA,"Seattle, WA",1238,1245,7,21,1306,1541,7,1539,1548,9,0,,0,N,181,183,155,1,954,,,,,,,,,
2018-02-01,UA,UA_CODESHARE,UA,5278,OO,N908SW,5278,11292,DEN,"Denver, CO",11111,COU,"Columbia, MO",2005,1959,-6,46,2045,2304,4,2302,2308,6,0,,0,N,117,129,79,1,671,,,,,,,,,
2019-08-12,DL,DL_CODESHARE,DL,5941,YX,N880RW,5941,12953,LGA,"New York, NY",14576,ROC,"Rochester, NY",1310,1304,-6,15,1319,1404,4,1440,1408,-32,0,,0,N,90,64,45,1,254,,,,,,,,,
2019-01-07,DL,DL,DL,1260,DL,N776DE,1260,14869,SLC,"Salt Lake City, UT",14570,RNO,"Reno, NV",1128,1125,-3,25,1150,1158,5,1159,1203,4,0,,0,N,91,98,68,1,422,,,,,,,,,
2018-02-22,DL,DL,DL,1179,DL,N867DN,1179,15016,STL,"St. Louis, MO",10397,ATL,"Atlanta, GA",600,558,-2,19,617,826,10,838,836,-2,0,,0,N,98,98,69,1,484,,,,,,,,,
2018-04-22,DL,DL,DL,2224,DL,N328DN,2224,10397,ATL,"Atlanta, GA",14683,SAT,"San Antonio, TX",1358,1357,-1,10,1407,1521,5,1539,1526,-13,0,,0,N,161,149,134,1,874,,,,,,,,,
2018-06-24,UA,UA_CODESHARE,UA,6053,YV,N514MJ,6053,12953,LGA,"New York, NY",12264,IAD,"Washington, DC",1440,1432,-8,38,1510,1608,3,1615,1611,-4,0,,0,N,95,99,58,1,229,,,,,,,,,
2018-10-08,AA,AA,AA,2647,AA,N928NN,2647,14492,RDU,"Raleigh/Durham, NC",11057,CLT,"Charlotte, NC",1058,1105,7,12,1117,1155,12,1210,1207,-3,0,,0,N,72,62,38,1,130,,,,,,,,,
2018-11-21,AA,AA,AA,1712,AA,N828AW,1712,14683,SAT,"San Antonio, TX",11057,CLT,"Charlotte, NC",1721,1725,4,11,1736,2042,8,2105,2050,-15,0,,0,N,164,145,126,1,1095,,,,,,,,,
2018-11-25,AA,AA,AA,2444,AA,N160AN,2444,11298,DFW,"Dallas/Fort Worth, TX",14107,PHX,"Phoenix, AZ",1730,1757,27,16,1813,1919,6,1903,1925,22,0,,0,N,153,148,126,1,868,0,0,0,0,22,,,,
2018-08-08,DL,DL_CODESHARE,DL,6020,YX,N879RW,6020,12953,LGA,"New York, NY",14492,RDU,"Raleigh/Durham, NC",1629,1643,14,32,1715,1902,12,1830,1914,44,0,,0,N,121,151,107,1,431,14,0,30,0,0,,,,
2019-01-05,WN,WN,WN,4083,WN,N8560Z,4083,14683,SAT,"San Antonio, TX",10821,BWI,"Baltimore, MD",610,610,0,8,618,1018,4,1020,1022,2,0,,0,N,190,192,180,1,1407,,,,,,,,,
2019-04-23,DL,DL,DL,2365,DL,N957DL,2365,11042,CLE,"Cleveland, OH",10397,ATL,"Atlanta, GA",1041,1231,110,10,1241,1400,9,1224,1409,105,0,,0,N,103,98,79,1,554,35,0,0,0,70,,,,
2018-10-18,AS,AS,AS,462,AS,N323AS,462,14747,SEA,"Seattle, WA",13891,ONT,"Ontario, CA",1340,1408,28,22,1430,1635,5,1621,1640,19,0,,0,N,161,152,125,1,956,0,0,0,0,19,,,,
2019-04-14,AA,AA,AA,652,AA,N834AW,652,14893,SMF,"Sacramento, CA",14107,PHX,"Phoenix, AZ",1239,1251,12,10,1301,1423,4,1429,1427,-2,0,,0,N,110,96,82,1,647,,,,,,,,,
2018-08-01,AA,AA,AA,2062,AA,N199UW,2062,11057,CLT,"Charlotte, NC",14747,SEA,"Seattle, WA",1630,1631,1,13,1644,1846,7,1907,1853,-14,0,,0,N,337,322,302,1,2279,,,,,,,,,
2019-05-23,AA,AA_CODESHARE,AA,4621,YX,N420YX,4621,11278,DCA,"Washington, DC",12217,HSV,"Huntsville, AL",2025,,,,,,,2133,,,1,C,0,N,128,,,1,613,,,,,,,,,
2018-06-08,DL,DL,DL,2597,DL,N905DE,2597,11057,CLT,"Charlotte, NC",10397,ATL,"Atlanta, GA",1446,1440,-6,19,1459,1542,10,1609,1552,-17,0,,0,N,83,72,43,1,226,,,,,,,,,
2019-12-31,WN,WN,WN,6006,WN,N924WN,6006,14492,RDU,"Raleigh/Durham, NC",11697,FLL,"Fort Lauderdale, FL",1630,1647,17,6,1653,1836,3,1845,1839,-6,0,,0,N,135,112,103,1,680,,,,,,,,,
2019-06-07,WN,WN,WN,284,WN,N246LV,284,14893,SMF,"Sacramento, CA",10800,BUR,"Burbank, CA",630,632,2,15,647,742,2,740,744,4,0,,0,N,70,72,55,1,358,,,,,,,,,
2018-03-08,DL,DL_CODESHARE,DL,4294,OO,N910EV,4294,13487,MSP,"Minneapolis, MN",13076,LSE,"La Crosse, WI",950,947,-3,12,959,1022,6,1055,1028,-27,0,,0,N,65,41,23,1,119,,,,,,,,,
2019-01-27,UA,UA,UA,1708,UA,N408UA,1708,11697,FLL,"Fort Lauderdale, FL",11618,EWR,"Newark, NJ",1700,1918,138,17,1935,2156,10,2008,2206,118,0,,0,N,188,168,141,1,1065,0,0,118,0,0,,,,
2019-12-30,DL,DL_CODESHARE,DL,4128,OO,N452SW,4128,11775,FSD,"Sioux Falls, SD",13487,MSP,"Minneapolis, MN",1817,1926,69,45,2011,2112,13,1945,2125,100,0,,0,N,88,119,61,1,196,0,2,31,0,67,,,,
2019-04-21,UA,UA,UA,643,UA,N73445,643,12758,KOA,"Kona, HI",14771,SFO,"San Francisco, CA",1226,1218,-8,12,1230,2017,2,2029,2019,-10,0,,0,N,303,301,287,1,2367,,,,,,,,,
2018-02-17,AA,AA,AA,2306,AA,N986NN,2306,11278,DCA,"Washington, DC",11298,DFW,"Dallas/Fort Worth, TX",1155,1150,-5,16,1206,1413,8,1432,1421,-11,0,,0,N,217,211,187,1,1192,,,,,,,,,
2019-11-24,AA,AA,AA,2076,AA,N196AA,2076,14100,PHL,"Philadelphia, PA",11298,DFW,"Dallas/Fort Worth, TX",1720,1714,-6,22,1736,1937,13,2011,1950,-21,0,,0,N,231,216,181,1,1303,,,,,,,,,
2018-12-17,DL,DL,DL,2968,DL,N343NW,2968,11433,DTW,"Detroit, MI",11278,DCA,"Washington, DC",715,713,-2,39,752,853,2,906,855,-11,0,,0,N,111,102,61,1,405,,,,,,,,,
2019-11-17,F9,F9,F9,2340,F9,N351FR,2340,13495,MSY,"New Orleans, LA",14100,PHL,"Philadelphia, PA",2052,2051,-1,9,2100,4,15,33,19,-14,0,,0,N,161,148,124,1,1089,,,,,,,,,
2018-06-20,AA,AA_CODESHARE,AA,4865,PT,N659AE,4865,14100,PHL,"Philadelphia, PA",13931,ORF,"Norfolk, VA",1159,1149,-10,25,1214,1256,4,1306,1300,-6,0,,0,N,67,71,42,1,212,,,,,,,,,
2019-06-19,UA,UA,UA,1553,UA,N54711,1553,14321,PWM,"Portland, ME",13930,ORD,"Chicago, IL",700,649,-11,12,701,813,12,842,825,-17,0,,0,N,162,156,132,1,900,,,,,,,,,
2019-08-15,WN,WN,WN,976,WN,N488WN,976,10693,BNA,"Nashville, TN",10397,ATL,"Atlanta, GA",1350,1351,1,16,1407,1546,8,1550,1554,4,0,,0,N,60,63,39,1,214,,,,,,,,,
2018-11-26,DL,DL,DL,1648,DL,N352NB,1648,13232,MDW,"Chicago, IL",10397,ATL,"Atlanta, GA",1257,1327,30,39,1406,1628,6,1546,1634,48,0,,0,N,109,127,82,1,591,0,0,18,0,30,,,,
2019-07-10,WN,WN,WN,2398,WN,N715SW,2398,10821,BWI,"Baltimore, MD",14893,SMF,"Sacramento, CA",1350,1636,166,9,1645,1845,5,1630,1850,140,0,,0,N,340,314,300,1,2395,140,0,0,0,0,,,,
2018-08-14,WN,WN,WN,2216,WN,N8575Z,2216,15304,TPA,"Tampa, FL",13495,MSY,"New Orleans, LA",1750,1748,-2,8,1756,1809,2,1830,1811,-19,0,,0,N,100,83,73,1,488,,,,,,,,,
2019-11-21,WN,WN,WN,1039,WN,N281WN,1039,10821,BWI,"Baltimore, MD",11057,CLT,"Charlotte, NC",1650,1649,-1,10,1659,1758,34,1830,1832,2,0,,0,N,100,103,59,1,361,,,,,,,,,
2018-09-20,G4,G4,G4,582,G4,233NV,582,10466,AZA,"Phoenix, AZ",11986,GRR,"Grand Rapids, MI",640,648,8,17,705,1313,6,1311,1319,8,0,,0,N,211,211,188,1,1561,,,,,,,,,
2018-09-12,AA,AA,AA,294,AA,N963NN,294,13930,ORD,"Chicago, IL",12953,LGA,"New York, NY",1730,1748,18,16,1804,2053,3,2040,2056,16,0,,0,N,130,128,109,1,733,16,0,0,0,0,,,,
2018-03-26,AA,AA_CODESHARE,AA,5220,OH,N247JS,5220,11278,DCA,"Washington, DC",11267,DAY,"Dayton, OH",840,845,5,23,908,1025,4,1022,1029,7,0,,0,N,102,104,77,1,391,,,,,,,,,
2018-11-07,DL,DL_CODESHARE,DL,3661,OO,N549CA,3661,13487,MSP,"Minneapolis, MN",11775,FSD,"Sioux Falls, SD",1250,1332,42,24,1356,1437,4,1401,1441,40,0,,0,N,71,69,41,1,196,0,0,0,0,40,,,,
2018-01-22,AA,AA_CODESHARE,AA,3641,MQ,N687JS,3641,14814,SHV,"Shreveport, LA",11298,DFW,"Dallas/Fort Worth, TX",1235,1237,2,14,1251,1335,13,1344,1348,4,0,,0,N,69,71,44,1,190,,,,,,,,,
2019-04-23,AA,AA_CODESHARE,AA,5216,OH,N202PS,5216,11278,DCA,"Washington, DC",10529,BDL,"Hartford, CT",1200,1158,-2,11,1209,1306,3,1316,1309,-7,0,,0,N,76,71,57,1,313,,,,,,,,,
2018-07-27,AA,AA_CODESHARE,AA,3214,OO,N710SK,3214,12892,LAX,"Los Angeles, CA",10372,ASE,"Aspen, CO",1320,1317,-3,17,1334,1612,3,1622,1615,-7,0,,0,N,122,118,98,1,737,,,,,,,,,
2019-01-29,AA,AA_CODESHARE,AA,4412,YX,N433YX,4412,11278,DCA,"Washington, DC",11066,CMH,"Columbus, OH",739,730,-9,18,748,850,7,906,857,-9,0,,0,N,87,87,62,1,323,,,,,,,,,
2018-04-08,AA,AA_CODESHARE,AA,3473,MQ,N696AE,3473,10693,BNA,"Nashville, TN",13930,ORD,"Chicago, IL",1710,1733,23,17,1750,1906,24,1904,1930,26,0,,0,N,114,117,76,1,409,11,0,3,0,12,,,,
2018-05-18,UA,UA_CODESHARE,UA,3781,ZW,N468AW,3781,13930,ORD,"Chicago, IL",10868,CAE,"Columbia, SC",1804,1756,-8,13,1809,2057,3,2105,2100,-5,0,,0,N,121,124,108,1,666,,,,,,,,,
2019-09-27,AA,AA_CODESHARE,AA,5588,OH,N547NN,5588,11057,CLT,"Charlotte, NC",10431,AVL,"Asheville, NC",2237,2228,-9,25,2253,2316,3,2330,2319,-11,0,,0,N,53,51,23,1,91,,,,,,,,,
2018-11-01,UA,UA,UA,472,UA,N814UA,472,11433,DTW,"Detroit, MI",14771,SFO,"San Francisco, CA",1915,2004,49,14,2018,2144,7,2131,2151,20,0,,0,N,316,287,266,1,2079,3,0,0,0,17,,,,
2019-01-08,B6,B6,B6,24,B6,N980JB,24,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",540,527,-13,11,538,1318,7,1358,1325,-33,0,,0,N,318,298,280,1,2475,,,,,,,,,
2019-03-19,DL,DL_CODESHARE,DL,5444,9E,N336PQ,5444,10397,ATL,"Atlanta, GA",15919,XNA,"Fayetteville, AR",1136,1131,-5,11,1142,1209,4,1238,1213,-25,0,,0,N,122,102,87,1,589,,,,,,,,,
2019-07-02,DL,DL,DL,2984,DL,N829DN,2984,11697,FLL,"Fort Lauderdale, FL",10721,BOS,"Boston, MA",1257,1252,-5,20,1312,1554,6,1616,1600,-16,0,,0,N,199,188,162,1,1237,,,,,,,,,
2019-05-07,UA,UA,UA,241,UA,N24736,241,10397,ATL,"Atlanta, GA",13930,ORD,"Chicago, IL",1055,1047,-8,14,1101,1137,16,1205,1153,-12,0,,0,N,130,126,96,1,606,,,,,,,,,
2018-07-24,UA,UA_CODESHARE,UA,5778,OO,N701BR,5778,13930,ORD,"Chicago, IL",12945,LEX,"Lexington, KY",1120,1112,-8,15,1127,1323,4,1344,1327,-17,0,,0,N,84,75,56,1,323,,,,,,,,,
2018-12-02,DL,DL_CODESHARE,DL,5318,9E,N8775A,5318,11057,CLT,"Charlotte, NC",11193,CVG,"Cincinnati, OH",1959,1954,-5,14,2008,2107,5,2128,2112,-16,0,,0,N,89,78,59,1,335,,,,,,,,,
2019-01-25,UA,UA_CODESHARE,UA,3590,YX,N856RW,3590,13930,ORD,"Chicago, IL",10397,ATL,"Atlanta, GA",600,553,-7,35,628,900,7,906,907,1,0,,0,N,126,134,92,1,606,,,,,,,,,
2019-10-27,DL,DL_CODESHARE,DL,4325,OO,N601XJ,4325,11433,DTW,"Detroit, MI",10135,ABE,"Allentown/Bethlehem/Easton, PA",1545,1541,-4,17,1558,1658,5,1721,1703,-18,0,,0,N,96,82,60,1,425,,,,,,,,,
2018-12-27,B6,B6,B6,976,B6,N615JB,976,11697,FLL,"Fort Lauderdale, FL",14100,PHL,"Philadelphia, PA",2219,2226,7,17,2243,54,7,57,101,4,0,,0,N,158,155,131,1,992,,,,,,,,,
2018-12-12,DL,DL,DL,589,DL,N845DN,589,13487,MSP,"Minneapolis, MN",14747,SEA,"Seattle, WA",925,925,0,40,1005,1120,12,1140,1132,-8,0,,0,N,255,247,195,1,1399,,,,,,,,,
2019-01-07,AS,AS_CODESHARE,AS,2622,QX,N405QX,2622,14747,SEA,"Seattle, WA",14057,PDX,"Portland, OR",1625,1625,0,11,1636,1707,10,1715,1717,2,0,,0,N,50,52,31,1,129,,,,,,,,,
2018-10-14,WN,WN,WN,3001,WN,N7744A,3001,11193,CVG,"Cincinnati, OH",13232,MDW,"Chicago, IL",2015,2020,5,7,2027,2007,3,2020,2010,-10,0,,0,N,65,50,40,1,249,,,,,,,,,
2019-05-04,UA,UA,UA,597,UA,N25201,597,13930,ORD,"Chicago, IL",10821,BWI,"Baltimore, MD",1815,1907,52,17,1924,2149,5,2110,2154,44,0,,0,N,115,107,85,1,621,10,0,0,0,34,,,,
2018-12-02,AA,AA,AA,1107,AA,N937NN,1107,14107,PHX,"Phoenix, AZ",14057,PDX,"Portland, OR",2127,2120,-7,10,2130,2306,3,2318,2309,-9,0,,0,N,171,169,156,1,1009,,,,,,,,,
2018-02-06,AA,AA_CODESHARE,AA,5049,OH,N228PS,5049,11267,DAY,"Dayton, OH",14100,PHL,"Philadelphia, PA",1547,1535,-12,11,1546,1653,3,1720,1656,-24,0,,0,N,93,81,67,1,477,,,,,,,,,
2018-04-13,AA,AA,AA,673,AA,N704US,673,12266,IAH,"Houston, TX",11057,CLT,"Charlotte, NC",1008,1012,4,32,1044,1344,7,1340,1351,11,0,,0,N,152,159,120,1,912,,,,,,,,,
2019-12-22,WN,WN,WN,2671,WN,N283WN,2671,13487,MSP,"Minneapolis, MN",13232,MDW,"Chicago, IL",1125,1121,-4,12,1133,1233,5,1300,1238,-22,0,,0,N,95,77,60,1,349,,,,,,,,,
2019-12-09,WN,WN,WN,454,WN,N765SW,454,12889,LAS,"Las Vegas, NV",13796,OAK,"Oakland, CA",540,538,-2,10,548,653,10,710,703,-7,0,,0,N,90,85,65,1,407,,,,,,,,,
2018-05-29,B6,B6,B6,1410,B6,N355JB,1410,12451,JAX,"Jacksonville, FL",10721,BOS,"Boston, MA",1840,1939,59,10,1949,2204,6,2116,2210,54,0,,0,N,156,151,135,1,1010,45,0,0,0,9,,,,
2018-10-06,UA,UA,UA,606,UA,N489UA,606,14122,PIT,"Pittsburgh, PA",14771,SFO,"San Francisco, CA",731,733,2,10,743,957,48,1000,1045,45,0,,0,N,329,372,314,1,2254,0,0,45,0,0,,,,
2018-06-04,UA,UA,UA,237,UA,N444UA,237,11292,DEN,"Denver, CO",14107,PHX,"Phoenix, AZ",755,755,0,14,809,841,5,855,846,-9,0,,0,N,120,111,92,1,602,,,,,,,,,
2019-07-14,WN,WN,WN,3587,WN,N234WN,3587,12889,LAS,"Las Vegas, NV",10800,BUR,"Burbank, CA",1835,1906,31,15,1921,2003,1,1940,2004,24,0,,0,N,65,58,42,1,223,24,0,0,0,0,,,,
2018-01-03,UA,UA_CODESHARE,UA,6326,YV,N84307,6326,11057,CLT,"Charlotte, NC",12264,IAD,"Washington, DC",1435,1520,45,10,1530,1624,6,1606,1630,24,0,,0,N,91,70,54,1,322,0,0,0,0,24,,,,
2019-10-07,WN,WN,WN,469,WN,N8684F,469,12889,LAS,"Las Vegas, NV",10397,ATL,"Atlanta, GA",715,714,-1,10,724,1347,11,1405,1358,-7,0,,0,N,230,224,203,1,1747,,,,,,,,,
2018-11-10,UA,UA_CODESHARE,UA,5284,OO,N652BR,5284,13930,ORD,"Chicago, IL",10980,CHA,"Chattanooga, TN",1930,2033,63,17,2050,2300,4,2209,2304,55,0,,0,N,99,91,70,1,500,0,0,0,0,55,,,,
2019-08-02,WN,WN,WN,603,WN,N8659D,603,13204,MCO,"Orlando, FL",13232,MDW,"Chicago, IL",1505,1601,56,24,1625,1737,5,1655,1742,47,0,,0,N,170,161,132,1,990,0,13,0,0,34,,,,
2018-04-17,DL,DL,DL,2873,DL,N905DA,2873,10529,BDL,"Hartford, CT",13487,MSP,"Minneapolis, MN",805,801,-4,12,813,942,4,1012,946,-26,0,,0,N,187,165,149,1,1050,,,,,,,,,
2018-04-09,AA,AA,AA,759,AA,N913US,759,14100,PHL,"Philadelphia, PA",14771,SFO,"San Francisco, CA",1815,1817,2,25,1842,2125,11,2147,2136,-11,0,,0,N,392,379,343,1,2521,,,,,,,,,
2019-09-15,DL,DL_CODESHARE,DL,4217,OO,N496CA,4217,12397,ITH,"Ithaca/Cortland, NY",11433,DTW,"Detroit, MI",600,600,0,21,621,720,12,737,732,-5,0,,0,N,97,92,59,1,353,,,,,,,,,
2019-12-31,G4,G4,G4,2165,G4,320NV,2165,15295,TOL,"Toledo, OH",14761,SFB,"Sanford, FL",1659,1650,-9,4,1654,1845,7,1915,1852,-23,0,,0,N,136,122,111,1,895,,,,,,,,,
2018-09-11,F9,F9,F9,618,F9,N926FR,618,14683,SAT,"San Antonio, TX",13871,OMA,"Omaha, NE",700,810,70,19,829,1012,4,915,1016,61,0,,0,N,135,126,103,1,824,61,0,0,0,0,,,,
2019-11-15,DL,DL,DL,2969,DL,N827DN,2969,11433,DTW,"Detroit, MI",10397,ATL,"Atlanta, GA",1137,1134,-3,10,1144,1319,8,1344,1327,-17,0,,0,N,127,113,95,1,594,,,,,,,,,
2019-09-10,WN,WN,WN,1728,WN,N465WN,1728,11292,DEN,"Denver, CO",13198,MCI,"Kansas City, MO",1650,1652,2,10,1702,1911,3,1925,1914,-11,0,,0,N,95,82,69,1,533,,,,,,,,,
2018-05-09,DL,DL_CODESHARE,DL,5543,EV,N759EV,5543,12953,LGA,"New York, NY",15919,XNA,"Fayetteville, AR",1345,1345,0,17,1402,1528,6,1613,1534,-39,0,,0,N,208,169,146,1,1147,,,,,,,,,
2018-05-28,UA,UA_CODESHARE,UA,6391,9K,N45838,6391,14955,SPN,"Saipan, TT",14582,ROP,"Rota, TT",1330,1325,-5,5,1330,1400,5,1405,1405,0,0,,0,N,35,40,30,1,73,,,,,,,,,
2019-07-02,DL,DL_CODESHARE,DL,7421,OO,N601XJ,7421,12397,ITH,"Ithaca/Cortland, NY",11433,DTW,"Detroit, MI",600,556,-4,11,607,705,31,735,736,1,0,,0,N,95,100,58,1,353,,,,,,,,,
2018-11-07,WN,WN,WN,1309,WN,N732SW,1309,12954,LGB,"Long Beach, CA",13796,OAK,"Oakland, CA",1935,1934,-1,7,1941,2041,11,2045,2052,7,0,,0,N,70,78,60,1,353,,,,,,,,,
2019-03-19,AA,AA,AA,276,AA,N115NN,276,14771,SFO,"San Francisco, CA",12478,JFK,"New York, NY",2315,2314,-1,26,2340,747,10,749,757,8,0,,0,N,334,343,307,1,2586,,,,,,,,,
2019-10-20,WN,WN,WN,4393,WN,N8556Z,4393,13204,MCO,"Orlando, FL",10423,AUS,"Austin, TX",1920,1958,38,10,2008,2132,4,2100,2136,36,0,,0,N,160,158,144,1,994,1,0,0,0,35,,,,
2019-09-06,AA,AA_CODESHARE,AA,4855,PT,N631AE,4855,10994,CHS,"Charleston, SC",11278,DCA,"Washington, DC",1400,1526,86,24,1550,1656,4,1535,1700,85,0,,0,N,95,94,66,1,444,4,0,0,0,81,,,,
2018-09-08,AA,AA_CODESHARE,AA,3466,MQ,N263NN,3466,15919,XNA,"Fayetteville, AR",11298,DFW,"Dallas/Fort Worth, TX",1625,1622,-3,10,1632,1724,18,1749,1742,-7,0,,0,N,84,80,52,1,280,,,,,,,,,
2019-02-25,UA,UA,UA,644,UA,N62849,644,10423,AUS,"Austin, TX",11292,DEN,"Denver, CO",1504,1458,-6,10,1508,1556,7,1624,1603,-21,0,,0,N,140,125,108,1,775,,,,,,,,,
